# x,y
0.581922,0.765336
-0.92099,1.99291
-0.458497,4.33974
-1.09064,5.27415
-3.08838,7.29961
-2.24486,7.31622
-2.60116,7.64387
-3.19961,7.6462
-4.22202,7.71458
-2.51745,10.5464
-1.41723,10.6483
-1.85194,10.7067
-3.4355,10.7515
-4.23192,10.77
-6.56611,12.5681
-6.82601,15.0103
-5.63807,16.0229
-5.51185,16.0742
-6.04802,16.3134
-6.72013,16.3392
-7.10336,18.6293
-7.91775,19.265
-8.4067,19.3071
-5.96584,19.6229
-5.36578,21.9226
-5.03378,22.6854
-6.56258,31.7374
-5.9498,31.7968
-6.60333,31.8454
-7.24074,32.4918
-7.43419,32.8395
-7.59765,34.4733
-7.04594,35.6399
-7.13103,35.6499
-8.35681,41.5302
-6.75239,41.7513
-7.70139,41.8476
-6.61804,42.314
-7.13397,42.6036
-8.60944,43.2174
-8.16636,43.6912
-8.43201,43.7532
-8.34808,45.1776
-8.04169,45.3668
-7.17582,46.2806
-6.11914,47.2745
-6.40593,49.4831
-6.21509,49.5917
-7.07771,51.8955
-6.88976,54.5055
